Time, Steps, Distance(km), Calories (kcal)
2021-09-28 07:00:00,1049,0.79,34
2021-09-28 06:00:00,1,0.00,0
2021-09-28 05:00:00,67,0.05,2
2021-09-27 19:00:00,374,0.28,12
2021-09-27 18:00:00,640,0.48,20
2021-09-27 17:00:00,319,0.24,10
2021-09-27 16:00:00,481,0.36,15
2021-09-27 15:00:00,118,0.09,3
2021-09-27 14:00:00,138,0.10,4
2021-09-27 13:00:00,275,0.21,9
2021-09-27 12:00:00,244,0.18,7
2021-09-27 11:00:00,807,0.61,26
2021-09-27 10:00:00,693,0.52,22
2021-09-27 09:00:00,620,0.47,20
2021-09-27 08:00:00,68,0.05,2
2021-09-27 07:00:00,43,0.03,1
2021-09-27 06:00:00,15,0.01,0
2021-09-26 22:00:00,27,0.02,0
2021-09-26 19:00:00,27,0.02,0
2021-09-26 18:00:00,52,0.04,1
2021-09-26 17:00:00,67,0.05,2
2021-09-26 16:00:00,192,0.14,6
2021-09-26 15:00:00,146,0.11,4
2021-09-26 14:00:00,283,0.21,9
2021-09-26 13:00:00,215,0.16,7
2021-09-26 12:00:00,116,0.09,3
2021-09-26 11:00:00,185,0.14,6
2021-09-26 10:00:00,81,0.06,2
2021-09-26 09:00:00,86,0.06,2
2021-09-26 08:00:00,61,0.05,1
2021-09-26 07:00:00,23,0.02,0
2021-09-25 22:00:00,15,0.01,0
2021-09-25 21:00:00,163,0.12,5
2021-09-25 20:00:00,70,0.05,2
2021-09-25 19:00:00,250,0.19,8
2021-09-25 18:00:00,63,0.05,2
2021-09-25 17:00:00,251,0.19,8
2021-09-25 16:00:00,448,0.34,14
2021-09-25 15:00:00,107,0.08,3
2021-09-25 14:00:00,66,0.05,2
2021-09-25 13:00:00,13,0.01,0
2021-09-25 12:00:00,133,0.10,4
2021-09-25 11:00:00,149,0.11,4
2021-09-25 10:00:00,18,0.01,0
2021-09-25 09:00:00,146,0.11,4
2021-09-25 08:00:00,81,0.06,2
2021-09-25 07:00:00,503,0.38,16
2021-09-25 06:52:01,514,0.51,34
2021-09-25 06:00:00,3754,2.83,122
2021-09-25 05:00:00,49,0.04,1
2021-09-24 19:00:00,143,0.11,4
2021-09-24 18:00:00,278,0.21,9
2021-09-24 17:00:00,46,0.03,1
2021-09-24 16:00:00,191,0.14,6
2021-09-24 15:00:00,116,0.09,3
2021-09-24 14:00:00,1860,1.40,60
2021-09-24 13:00:00,1971,1.49,64
2021-09-24 12:00:00,610,0.46,19
2021-09-24 11:00:00,333,0.25,10
2021-09-24 10:00:00,130,0.10,4
2021-09-24 09:00:00,69,0.05,2
2021-09-24 07:00:00,74,0.05,2
2021-09-24 06:00:00,127,0.09,4
2021-09-24 02:00:00,99,0.07,3
2021-09-24 01:00:00,21,0.01,0
2021-09-23 21:00:00,175,0.13,5
2021-09-23 15:00:00,55,0.04,1
2021-09-23 14:00:00,201,0.15,6
2021-09-23 13:00:00,2284,1.72,74
2021-09-23 12:00:00,2607,1.97,85
2021-09-23 11:00:00,522,0.39,17
2021-09-23 10:00:00,94,0.07,3
2021-09-23 09:00:00,175,0.13,5
2021-09-23 08:00:00,31,0.02,1
2021-09-23 07:00:00,74,0.05,2
2021-09-23 06:00:00,3115,2.35,102
2021-09-23 05:00:00,2261,1.70,74
2021-09-23 04:00:00,106,0.08,3
2021-09-23 00:00:00,73,0.05,2
2021-09-22 23:00:00,131,0.10,4
2021-09-22 22:00:00,106,0.08,3
2021-09-22 21:00:00,12,0.01,0
2021-09-22 18:00:00,13,0.01,0
2021-09-22 17:00:00,13,0.01,0
2021-09-22 15:00:00,60,0.05,1
2021-09-22 14:00:00,13,0.01,0
2021-09-22 13:00:00,31,0.02,1
2021-09-22 12:00:00,83,0.06,2
2021-09-22 11:00:00,45,0.03,1
2021-09-22 10:00:00,187,0.14,6
2021-09-22 09:00:00,1530,1.15,50
2021-09-22 08:00:00,156,0.12,5
2021-09-22 07:00:00,72,0.05,2
2021-09-22 06:00:00,244,0.18,7
2021-09-22 02:00:00,53,0.04,1
2021-09-22 01:00:00,13,0.01,0
2021-09-22 00:00:00,69,0.05,2
2021-09-21 23:00:00,108,0.08,3
2021-09-21 22:00:00,11,0.01,0
2021-09-21 21:00:00,76,0.06,2
2021-09-21 20:00:00,19,0.01,0
2021-09-21 19:00:00,192,0.14,6
2021-09-21 18:00:00,10,0.01,0
2021-09-21 17:00:00,49,0.04,1
2021-09-21 15:00:00,133,0.10,4
2021-09-21 14:00:00,767,0.58,25
2021-09-21 13:00:00,1481,1.12,48
2021-09-21 12:00:00,1982,1.49,64
2021-09-21 11:00:00,53,0.04,1
2021-09-21 10:00:00,17,0.01,0
2021-09-21 09:00:00,10,0.01,0
2021-09-21 08:00:00,439,0.33,14
2021-09-21 07:00:00,93,0.07,3
2021-09-21 06:00:00,997,0.75,32
2021-09-21 05:58:05,1122,1.11,75
2021-09-21 05:00:00,920,0.69,30
2021-09-20 21:00:00,141,0.11,4
2021-09-20 20:00:00,11,0.01,0
2021-09-20 18:00:00,106,0.08,3
2021-09-20 17:00:00,58,0.04,1
2021-09-20 16:00:00,305,0.23,9
2021-09-20 14:00:00,54,0.04,1
2021-09-20 13:00:00,1001,0.75,32
2021-09-20 12:00:00,1900,1.43,62
2021-09-20 11:00:00,1374,1.03,44
2021-09-20 10:00:00,242,0.18,7
2021-09-20 09:00:00,45,0.03,1
2021-09-20 08:00:00,123,0.09,4
2021-09-20 07:00:00,120,0.09,3
2021-09-20 06:00:00,2408,1.82,78
2021-09-20 05:45:08,1245,1.23,83
2021-09-20 05:00:00,905,0.68,29
2021-09-20 04:00:00,101,0.08,3
2021-09-20 02:00:00,20,0.01,0
2021-09-20 01:00:00,56,0.04,1
2021-09-19 23:00:00,49,0.04,1
2021-09-19 22:00:00,24,0.02,0
2021-09-19 21:00:00,46,0.03,1
2021-09-19 20:00:00,95,0.07,3
2021-09-19 19:00:00,16,0.01,0
2021-09-19 18:00:00,64,0.05,2
2021-09-19 17:00:00,22,0.02,0
2021-09-19 16:00:00,21,0.01,0
2021-09-19 14:00:00,15,0.01,0
2021-09-19 12:00:00,10,0.01,0
2021-09-19 09:00:00,10,0.01,0
2021-09-19 07:00:00,55,0.04,1
2021-09-19 06:00:00,55,0.04,1
2021-09-19 04:00:00,102,0.08,3
2021-09-19 03:00:00,28,0.02,0
2021-09-19 01:00:00,63,0.05,2
2021-09-19 00:00:00,23,0.02,0
2021-09-18 23:00:00,93,0.07,3
2021-09-18 22:00:00,255,0.19,8
2021-09-18 21:00:00,11,0.01,0
2021-09-18 20:00:00,12,0.01,0
2021-09-18 19:00:00,31,0.02,1
2021-09-18 17:00:00,22,0.02,0
2021-09-18 16:00:00,157,0.12,5
2021-09-18 15:00:00,269,0.20,8
2021-09-18 14:00:00,56,0.04,1
2021-09-18 02:00:00,65,0.05,2
2021-09-17 22:00:00,50,0.04,1
2021-09-17 21:00:00,10,0.01,0
2021-09-17 20:00:00,71,0.05,2
2021-09-17 19:00:00,80,0.06,2
2021-09-17 18:00:00,483,0.36,15
2021-09-17 17:00:00,15,0.01,0
2021-09-17 13:00:00,38,0.03,1
2021-09-17 12:00:00,203,0.15,6
2021-09-17 10:00:00,117,0.09,3
2021-09-17 09:00:00,14,0.01,0
2021-09-17 08:00:00,194,0.15,6
2021-09-17 07:00:00,135,0.10,4
2021-09-17 06:00:00,86,0.06,2
2021-09-17 05:00:00,80,0.06,2
2021-09-17 01:00:00,25,0.02,0
2021-09-17 00:00:00,87,0.06,2
2021-09-16 22:00:00,88,0.07,2
2021-09-16 21:00:00,10,0.01,0
2021-09-16 20:00:00,82,0.06,2
2021-09-16 19:00:00,55,0.04,1
2021-09-16 18:00:00,101,0.08,3
2021-09-16 17:00:00,173,0.13,5
2021-09-16 16:00:00,125,0.09,4
2021-09-16 15:00:00,139,0.10,4
2021-09-16 14:00:00,60,0.05,1
2021-09-16 05:00:00,20,0.01,0
2021-09-16 03:00:00,122,0.09,3
2021-09-16 01:00:00,68,0.05,2
2021-09-15 22:00:00,30,0.02,0
2021-09-15 21:00:00,131,0.10,4
2021-09-15 20:00:00,83,0.06,2
2021-09-15 19:00:00,125,0.09,4
2021-09-15 18:00:00,30,0.02,0
2021-09-15 17:00:00,90,0.07,2
2021-09-15 16:00:00,249,0.19,8
2021-09-15 15:00:00,48,0.04,1
2021-09-15 14:00:00,15,0.01,0
2021-09-15 13:00:00,11,0.01,0
2021-09-15 11:00:00,56,0.04,1
2021-09-15 10:00:00,26,0.02,0
2021-09-15 09:00:00,211,0.16,6
2021-09-15 08:00:00,106,0.08,3
2021-09-15 05:00:00,20,0.01,0
2021-09-14 23:00:00,77,0.06,2
2021-09-14 22:00:00,180,0.14,5
2021-09-14 21:00:00,345,0.26,11
2021-09-14 20:00:00,161,0.12,5
2021-09-14 19:00:00,11,0.01,0
2021-09-14 18:00:00,227,0.17,7
2021-09-14 17:00:00,15,0.01,0
2021-09-14 16:00:00,52,0.04,1
2021-09-14 15:00:00,189,0.14,6
2021-09-14 14:00:00,68,0.05,2
2021-09-14 13:00:00,270,0.20,8
2021-09-14 02:00:00,83,0.06,2
2021-09-14 01:00:00,31,0.02,1
2021-09-13 23:00:00,76,0.06,2
2021-09-13 22:00:00,180,0.14,5
2021-09-13 21:00:00,126,0.09,4
2021-09-13 20:00:00,89,0.07,2
2021-09-13 19:00:00,141,0.11,4
2021-09-13 18:00:00,191,0.14,6
2021-09-13 17:00:00,2382,1.79,78
2021-09-13 16:31:32,0,0.00,56
2021-09-13 16:00:00,1925,1.45,63
2021-09-13 15:00:00,616,0.46,20
2021-09-13 14:00:00,53,0.04,1
2021-09-13 13:00:00,129,0.10,4
2021-09-13 12:00:00,86,0.06,2
2021-09-13 08:00:00,29,0.02,0
2021-09-13 06:00:00,37,0.03,1
2021-09-13 04:00:00,132,0.10,4
2021-09-13 01:00:00,48,0.04,1
2021-09-12 23:00:00,66,0.05,2
2021-09-12 21:00:00,137,0.10,4
2021-09-12 20:25:46,722,0.69,44
2021-09-12 20:00:00,2651,2.00,86
2021-09-12 19:00:00,70,0.05,2
2021-09-12 18:00:00,77,0.06,2
2021-09-12 17:00:00,59,0.04,1
2021-09-12 16:00:00,11,0.01,0
2021-09-12 14:00:00,75,0.06,2
2021-09-12 13:00:00,58,0.04,1
2021-09-12 12:00:00,22,0.02,0
2021-09-12 11:00:00,15,0.01,0
2021-09-12 08:00:00,10,0.01,0
2021-09-12 04:00:00,80,0.06,2
2021-09-12 01:00:00,27,0.02,0
2021-09-12 00:00:00,82,0.06,2
2021-09-11 23:00:00,46,0.03,1
2021-09-11 22:00:00,28,0.02,0
2021-09-11 21:00:00,505,0.38,16
2021-09-11 20:00:00,3475,2.62,113
2021-09-11 19:00:00,252,0.19,8
2021-09-11 18:00:00,101,0.08,3
2021-09-11 17:00:00,173,0.13,5
2021-09-11 16:00:00,56,0.04,1
2021-09-11 15:00:00,58,0.04,1
2021-09-11 14:00:00,10,0.01,0
2021-09-11 00:00:00,117,0.09,3
2021-09-10 23:00:00,43,0.03,1
2021-09-10 21:00:00,121,0.09,3
2021-09-10 20:00:00,65,0.05,2
2021-09-10 19:00:00,164,0.12,5
2021-09-10 18:00:00,159,0.12,5
2021-09-10 17:00:00,204,0.15,6
2021-09-10 16:00:00,114,0.09,3
2021-09-10 15:00:00,566,0.43,18
2021-09-10 14:00:00,10,0.01,0
2021-09-10 13:00:00,36,0.03,1
2021-09-10 12:00:00,233,0.17,7
2021-09-10 11:00:00,121,0.09,3
2021-09-10 10:00:00,195,0.15,6
2021-09-10 09:00:00,15,0.01,0
2021-09-10 08:00:00,181,0.14,5
2021-09-10 06:00:00,187,0.14,6
2021-09-09 01:00:00,21,0.01,0
2021-09-08 22:00:00,129,0.10,4
2021-09-08 21:00:00,97,0.07,3
2021-09-08 20:00:00,107,0.08,3
2021-09-08 19:00:00,25,0.02,0
2021-09-08 18:00:00,74,0.05,2
2021-09-08 17:00:00,139,0.10,4
2021-09-08 16:00:00,154,0.12,5
2021-09-08 15:00:00,342,0.26,11
2021-09-08 14:00:00,115,0.09,3
2021-09-08 13:00:00,257,0.19,8
2021-09-08 12:00:00,220,0.17,7
2021-09-08 11:00:00,46,0.03,1
2021-09-08 09:00:00,18,0.01,0
2021-09-08 01:00:00,22,0.02,0
2021-09-08 00:00:00,52,0.04,1
2021-09-07 23:00:00,487,0.37,15
2021-09-07 22:00:00,712,0.54,23
2021-09-07 21:00:00,20,0.01,0
2021-09-07 20:00:00,132,0.10,4
2021-09-07 19:00:00,700,0.53,22
2021-09-07 18:00:00,421,0.32,13
2021-09-07 17:00:00,628,0.47,20
2021-09-07 16:00:00,164,0.12,5
2021-09-07 15:00:00,247,0.19,8
2021-09-07 14:00:00,242,0.18,7
2021-09-07 13:00:00,432,0.32,14
2021-09-07 12:00:00,513,0.39,16
2021-09-07 11:00:00,304,0.23,9
2021-09-07 10:00:00,79,0.06,2
2021-09-07 03:00:00,23,0.02,0
2021-09-07 02:00:00,51,0.04,1
2021-09-07 00:00:00,40,0.03,1
2021-09-06 23:00:00,43,0.03,1
2021-09-06 22:00:00,116,0.09,3
2021-09-06 21:00:00,68,0.05,2
2021-09-06 20:00:00,113,0.09,3
2021-09-06 19:00:00,175,0.13,5
2021-09-06 18:00:00,87,0.06,2
2021-09-06 17:00:00,145,0.11,4
2021-09-06 16:00:00,11,0.01,0
2021-09-06 15:00:00,158,0.12,5
2021-09-06 14:00:00,229,0.17,7
2021-09-06 13:00:00,111,0.08,3
2021-09-06 12:00:00,17,0.01,0
2021-09-06 11:00:00,19,0.01,0
2021-09-06 06:00:00,21,0.01,0
2021-09-06 01:00:00,21,0.01,0
2021-09-05 23:00:00,31,0.02,1
2021-09-05 20:00:00,283,0.21,9
2021-09-05 19:00:00,145,0.11,4
2021-09-05 18:00:00,130,0.10,4
2021-09-05 17:00:00,427,0.32,13
2021-09-05 16:00:00,77,0.06,2
2021-09-05 15:00:00,115,0.09,3
2021-09-05 14:00:00,134,0.10,4
2021-09-05 13:00:00,161,0.12,5
2021-09-05 12:00:00,17,0.01,0
2021-09-05 03:00:00,153,0.12,5
2021-09-05 01:00:00,161,0.12,5
2021-09-05 00:00:00,224,0.17,7
2021-09-04 23:00:00,168,0.13,5
2021-09-04 22:00:00,331,0.25,10
2021-09-04 21:00:00,228,0.17,7
2021-09-04 20:00:00,128,0.10,4
2021-09-04 19:00:00,134,0.10,4
2021-09-04 18:00:00,132,0.10,4
2021-09-04 17:00:00,153,0.12,5
2021-09-04 16:00:00,510,0.38,16
2021-09-04 15:00:00,140,0.10,4
2021-09-04 14:00:00,10,0.01,0
2021-09-04 13:00:00,119,0.09,3
2021-09-04 11:00:00,14,0.01,0
2021-09-04 01:00:00,23,0.02,0
2021-09-03 21:00:00,26,0.02,0
2021-09-03 20:00:00,258,0.19,8
2021-09-03 19:00:00,243,0.18,7
2021-09-03 18:00:00,19,0.01,0
2021-09-03 17:00:00,566,0.43,18
2021-09-03 16:00:00,75,0.06,2
2021-09-03 15:00:00,123,0.09,4
2021-09-03 11:00:00,78,0.06,2
2021-09-03 10:00:00,180,0.14,5
2021-09-03 08:00:00,347,0.26,11
2021-09-03 07:00:00,102,0.08,3
2021-09-02 23:00:00,66,0.05,2
2021-09-02 20:00:00,121,0.09,3
2021-09-02 19:00:00,102,0.08,3
2021-09-02 17:00:00,457,0.34,14
2021-09-02 16:00:00,237,0.18,7
2021-09-02 15:00:00,50,0.04,1
2021-09-02 14:00:00,237,0.18,7
2021-09-02 01:00:00,189,0.14,6
2021-09-02 00:00:00,22,0.02,0
2021-09-01 23:00:00,12,0.01,0
2021-09-01 22:00:00,93,0.07,3
2021-09-01 21:00:00,79,0.06,2
2021-09-01 20:00:00,217,0.16,7
2021-09-01 17:00:00,15,0.01,0
2021-09-01 16:00:00,318,0.24,10
2021-09-01 15:00:00,213,0.16,6
2021-09-01 14:00:00,79,0.06,2
2021-09-01 13:00:00,193,0.14,6
2021-09-01 12:00:00,11,0.01,0
2021-09-01 03:00:00,157,0.12,5
2021-09-01 02:00:00,80,0.06,2
